Scientific,Common_Nam,Circumfere,Height,Spread,Points,Latitude_NAD83,Longitude_NAD83,POINT_X_NAD83_17N,POINT_Y_NAD83_17N,Database,National_C,Year,Nominated by
Quercus michauxii,Swamp Chestnut oak,215.0,123.7,110.0,367.0,33.8064,-80.8218,516493.91,3740703.91,Phillips,State Champion,2009,
Quercus michauxii,Swamp Chestnut Oak,215.0,123.7,110.0,366.2,33.8064,-80.8218,516495.70,3740700.29,Clemson,State,2012,
Quercus michauxii,Swamp chestnut oak,199.0,143.0,97.0,366.0,33.8064,-80.8210,516565.99,3740708.95,Jones1996,,1996,
Quercus michauxii,Swamp Chestnut Oak,210.0,120.0,104.0,356.0,33.8064,-80.8218,516495.70,3740700.29,F.Chisolm Beckham,,2002,
Quercus michauxii,Swamp chestnut oak,196.0,114.0,73.0,328.0,33.8262,-80.8377,515019.02,3742897.02,Jones1996,,1996,
Quercus michauxii,Swamp Chestnut oak,208.0,0.0,0.0,0.0,33.8190,-80.8054,518009.50,3742103.67,Phillips,,2011,
Quercus michauxii,Swamp Chestnut oak,204.0,0.0,0.0,0.0,33.8262,-80.8376,515028.00,3742896.62,Phillips,,2011,
Quercus michauxii,Swamp Chestnut oak,186.5,0.0,0.0,0.0,33.8085,-80.8084,517733.48,3740938.76,Phillips,,2010,
Quercus michauxii,Swamp Chestnut oak,185.0,0.0,0.0,0.0,33.8033,-80.8084,517734.55,3740362.27,Phillips,,2013,
Quercus michauxii,Swamp Chestnut oak,183.0,0.0,0.0,0.0,33.8260,-80.8382,514972.26,3742874.54,Phillips,,2011,
Quercus nigra,Water oak,218.0,116.6,65.5,351.0,33.8119,-80.8094,517640.28,3741315.86,Phillips,,2011,
Quercus Pagoda,Cherrybark Oak,278.2,162.0,98.0,464.7,33.8074,-80.8381,514983.76,3740808.67,F.Chisolm Beckham,,2002,
Quercus pagoda,Cherrybark oak,282.0,141.0,135.0,457.0,33.8074,-80.8381,514985.39,3740812.23,Phillips,"State Champion (2013 Nov 2)   24' 2"" X 146.6' X 117' acs 132' max",2009,
Quercus pagoda,Cherrybark Oak,282.0,141.0,135.3,456.8,33.8074,-80.8381,514983.76,3740808.67,Clemson,State,2012,
Quercus pagoda,Cherrybark oak,236.0,159.8,122.0,427.0,33.8079,-80.8113,517465.27,3740871.86,Phillips,Schoolbus Oak,2009,
Quercus pagoda,Cherrybark oak,269.0,0.0,0.0,0.0,33.8114,-80.7969,518797.70,3741262.67,Phillips,,2012,
Quercus pagoda,Cherrybark oak,250.5,0.0,0.0,0.0,33.8095,-80.8313,515614.18,3741046.29,Phillips,,2013,
Quercus pagoda,Cherrybark oak,235.0,0.0,0.0,0.0,33.8054,-80.8334,515420.73,3740591.30,Phillips,,2013,
Quercus pagoda,Cherrybark oak,228.0,0.0,0.0,0.0,33.8125,-80.8323,515521.14,3741378.58,Phillips,,2013,
Quercus phellos,Willow oak,202.0,137.5,119.0,370.0,33.8221,-80.8651,512484.20,3742438.69,Phillips,,2009,
Quercus phellos,Willow oak,221.0,120.0,107.5,369.0,33.8221,-80.8636,512623.76,3742434.13,Phillips,State - submitted,2009,
Quercus shumardii,Shumard Oak,281.7,145.0,68.0,443.7,33.8203,-80.8468,514174.33,3742242.65,Clemson,State,2012,
Quercus Shumardii,Shumard Oak,281.7,145.0,68.0,443.7,33.8203,-80.8468,514174.33,3742242.65,F.Chisolm Beckham,,2002,
Quercus shumardii,Shumard oak,217.0,137.1,69.0,371.0,33.8057,-80.8279,515929.11,3740625.12,Phillips,,2013,
Quercus shumardii,Shumard oak,207.0,132.0,106.0,366.0,33.8070,-80.8190,516751.99,3740769.96,Jones1996,STATE CHAMP,1996,
Quercus velutina,Black Oak,123.0,125.0,68.0,265.0,33.8130,-80.8326,515489.13,3741431.37,GaryWilliamson,State,2013,
Sabal minor,Dwarf Palmetto,37.0,18.0,22.0,60.5,33.8312,-80.8267,516033.63,3743451.31,GaryWilliamson,State,2013,
Sabal minor,Dwarf Palmetto,41.0,17.0,4.0,59.0,33.8312,-80.8267,516033.63,3743451.31,GaryWilliamson,,2013,
Salix nigra,Black Willow,77.0,95.1,0.0,0.0,33.8083,-80.8542,513494.57,3740909.82,Phillips,State - submitted,2013,
Symplocos tinctoria,Sweetleaf,11.0,33.0,12.0,47.0,33.8330,-80.8519,513701.57,3743651.68,GaryWilliamson,state,2013,
Taxodium distichium,Baldcypress,312.00,95.00,,,33 47.009,80 39.221,33.7834,-80.6501,John Grego,,2016,
Taxodium distichium, Baldcypress,260.00,,,, 33 48.268,80 47.012,33.8001,-80.7833,John Grego,,2016,
Taxodium distichium,Baldcypress,243.00,,,, 33 48.197,80 46.490,33.8001,-80.7668,John Grego,,2016,
Taxodium distichium,,228.00,,,,33 49.468,80 48.175,33.8168,-80.8000,John Grego,,2016,
Taxodium distichium ,Baldcypress,253.00,,,, 33 47.439,80 39.126,33.7835,-80.6500,John Grego,,2016,
Taxodium distichum,Baldcypress,313.0,131.0,48.0,456.0,33.7726,-80.7265,525325.86,3736971.89,Jones1996,STATE CHAMP,1996,
Taxodium distichum,Baldcypress,313.2,127.0,50.0,452.7,33.7725,-80.7265,525326.87,3736965.30,F.Chisolm Beckham,,2002,
Taxodium distichum,Baldcypress1,313.2,127.0,50.0,452.7,33.7725,-80.7265,525326.87,3736965.30,Clemson,State,2012,
Taxodium distichum,Baldcypress,285.0,144.0,57.0,443.0,33.7757,-80.7044,527370.85,3737320.96,Jones1996,,1996,
Taxodium distichum,Baldcypress,278.0,148.0,60.0,441.0,33.8121,-80.8251,516191.00,3741330.97,Jones1996,,1996,
Taxodium distichum,Baldcypress,313.0,112.0,52.0,438.0,33.7739,-80.7129,526579.85,3737118.93,Jones1996,,1996,
Taxodium distichum,Baldcypress,305.0,99.0,42.0,415.0,33.7877,-80.7345,524578.87,3738647.91,Jones1996,,1996,
Taxodium distichum,Baldcypress,263.0,134.0,57.0,411.0,33.7714,-80.7044,527367.85,3736853.95,Jones1996,,1996,
Taxodium distichum,Baldcypress,277.0,119.0,55.0,410.0,33.7714,-80.7044,527367.85,3736853.95,Jones1996,,1996,
Taxodium distichum,Baldcypress,261.0,133.0,62.0,410.0,33.7743,-80.7029,527504.85,3737167.96,Jones1996,,1996,
Taxodium distichum,Baldcypress,252.0,133.0,60.0,400.0,33.7749,-80.7056,527261.85,3737231.95,Jones1996,,1996,
Taxodium distichum,Baldcypress,248.0,125.0,,,33.8191,-80.8022,518305.05,3742116.03,Grego2014,,2014,
Ulmus americana,American elm,225.0,121.0,105.0,372.0,33.7892,-80.8027,518265.77,3738800.04,Phillips,State Champion-submitted,2012,
Ulmus Americana,American Elm,202.0,130.0,86.0,353.5,33.7893,-80.8028,518260.49,3738806.32,F.Chisolm Beckham,,2002,
Ulmus americana,American elm,203.0,128.0,76.0,350.0,33.7916,-80.7640,521844.90,3739074.89,Jones1996,STATE CHAMP,1996,
Ulmus americana,American elm,190.0,133.0,71.0,341.0,33.7892,-80.8027,518260.95,3738804.90,Jones1996,,1996,
Ulmus americana,American elm,171.0,127.0,87.0,320.0,33.7762,-80.7666,521611.90,3737364.85,Jones1996,,1996,
Ulmus americana,American elm,168.0,123.0,77.0,310.0,33.8116,-80.8098,517598.98,3741287.97,Jones1996,,1996,
Ulmus Americana,American elm,179.0,,,,33.8193,-80.8083,517740.49,3742137.13,Grego2014,,2014,
